4.95 150 0.382 7.817 1.263 7 2 4.5 2.569 3.297 3.589 4.243 5 4.847 4.386 6.475 4.578 0.731 9.17 5.595 8.222 5 8.48 6.28 5.832 6.864 4.051 7.053 5.552 7.198
5.45 139 1.779 8.403 7.026 10 9 9.5 3.319 3.102 3.038 3.802 3.333 4.538 3.151 5.404 3.286 0.963 8.843 4.449 7.942 5 9.093 8.54 7.314 8.316 4.559 4.126 4.342 10
5.33 142 5.703 5.243 8.605 7 1 4 6.988 3.778 3.425 4.209 7.5 4.995 4.386 6.819 2.932 0.963 6.817 9.365 5.12 5 3.593 7.5 5.9 5.664 2.448 7.285 4.866 1.197
7.78 19 8.494 7.995 10 9 7 8 8.267 3.387 4.099 5.651 5.833 5.182 6.257 9.835 5.075 1 9.665 8.212 9.488 10 9.033 9.3 8.362 8.898 5.141 7.699 6.42 10
8.09 10 4.412 6.786 10 6 5 5.5 9.188 7.306 6.669 6.517 10 8.309 6.832 8.271 8.306 1 9.021 9.151 9.888 10 9.247 9.46 8.898 9.202 6.345 8.91 7.628 10
7.78 19 4.206 3.292 10 4 3 3.5 7.631 6.614 6.827 7.262 10 8.644 7.314 8.1 8.213 1 8.897 9.752 9.502 10 9.633 8.9 6.106 8.213 6.342 8.91 7.626 10
6.13 122 5.479 8.123 0 8 4 6 3.894 2.841 3.768 4.968 5.833 5.007 7.554 9.628 5.536 0.923 9.187 3.468 9.788 5 9.093 8.18 6.651 7.975 5.419 6.256 5.838 10
7.14 65 3.647 9.302 7.148 10 10 10 1.758 3.96 5.076 5.68 5 6.656 4.786 8.527 6.653 0.537 9.627 5.345 9.45 10 9.513 9 6.86 8.458 6.469 8.306 7.387 10
6.16 119 9.735 9.638 8.461 9 9 9 5.536 3.174 3.614 4.738 4.167 4.468 0.941 3.167 2.716 0.815 8.537 9.57 8.756 0 6.273 7.12 6.371 6.588 5.615 5.883 5.749 10
6.32 113 1.15 6.101 10 7 3 5 6.662 7.128 6.166 6.373 5 6.36 3.803 5.268 7.793 0.872 8.978 8.035 9.094 0 8.32 7.52 2.213 6.018 6.31 8.91 7.61 10
7.55 37 2.353 2.342 10 2 0 1 8.17 6.613 6.198 6.843 10 7.824 6.667 4.616 7.723 1 9.315 9.852 9.432 10 9.633 8.9 6.106 8.213 6.733 8.91 7.822 10
6.94 79 5.583 5.026 6.278 10 3 6.5 7.158 4.394 4.611 4.881 8.3 5.971 3.915 7.785 7.296 0.963 9.795 8.744 9.59 5 10 8.68 5.591 8.09 4.965 8.011 6.488 10
7.33 55 4 7.164 8.343 9 9 9 5.357 6.545 5.966 6.003 8.333 6.439 3.168 8.04 5.734 0.963 9.484 5.827 8.492 10 1.653 8.48 5.562 5.232 6.059 5.715 5.887 10
6.63 95 4.932 6.324 10 8 8 8 7.056 5.457 4.647 5.933 6.667 4.996 3.999 8.578 5.551 0.963 9.005 9.53 8.92 5 8.227 7.3 6.058 7.195 4.854 8.013 6.434 9.608
7.65 29 6.029 5.411 8.389 10 7 8.5 8.065 4.262 4.244 4.738 8.333 5.258 4.768 8.782 3.971 0.962 9.925 8.538 9.41 10 9.633 8.9 6.106 8.213 4.635 7.426 6.03 10
5.98 128 7.35 9.253 8.113 5 4 4.5 5.752 2.599 3.375 4.64 5 3.843 5.084 3.375 5.43 0.759 9.548 8.909 9.412 0 3.84 6.44 6.226 5.502 5.373 6.675 6.024 10
8.18 5 3.794 6.902 9.5 6 6 6 8.196 7.442 7.057 6.746 10 8.38 6.282 8.571 8.379 1 8.791 9.039 9.696 10 9.767 9.14 1.864 6.924 5.587 8.869 7.228 10
7.86 16 7 8.012 10 7 7 7 8.455 6.681 6.437 6.5 7.5 7.374 5.68 9.067 8.612 0.897 8.33 7.755 9.398 10 9.767 8.8 9.832 9.466 6.334 8.158 7.246 10
6.15 120 3.891 8.294 3.651 6 6 6 2.945 3.58 4.454 5.29 5 4.875 5.865 8.269 5.692 0.963 9.148 8.509 9.47 5 9.333 8.08 6.966 8.127 5.461 6.905 6.183 10
6.85 84 6.744 7.697 5.003 7 3 5 8.184 4.682 4.187 4.528 3.333 4.723 3.42 9.097 5.258 0.963 9.105 9.062 9.364 5 8.833 8.24 6.867 7.98 4.542 8.179 6.36 10
7.7 27 5.412 8.551 10 9 4 6.5 7.402 6.614 5.442 5.713 10 6.332 3.524 8.523 6.448 0.926 9.432 8.628 9.1 10 9 8.88 6.237 8.039 4.737 8.2 6.469 10
5.61 137 6.421 9.634 2.05 3 2 2.5 7.516 3.691 3.652 4.238 3.333 4.947 3.522 5.656 3.851 0.793 8.322 8.717 9.738 0 5.26 7.62 7.287 6.722 4.898 5.945 5.422 10
7.2 62 4.35 4.859 8.788 4 0 2 7.395 4.89 4.426 5.399 8.333 7.173 5.315 6.419 5.946 0.963 9.745 9.172 9.316 10 9.587 9 7.54 8.709 5.699 7.719 6.709 10
7.54 38 5.332 5.859 8.785 7 6 6.5 8.945 6.144 5.989 6.199 8.333 7.883 4.627 6.085 6.303 0.897 9.354 9.199 9.522 10 9.633 8.9 6.106 8.213 6.555 9.265 7.91 10
7.78 19 3.324 4.736 9.683 10 4 7 8.86 5.616 5.111 5.504 10 7.776 4.677 8.232 4.821 0.963 9.104 9.317 9.34 10 9.633 8.9 6.106 8.213 5.56 7.678 6.619 10
7.89 13 1.324 4.322 8.657 3 2 2.5 7.562 7.639 6.758 6.8 10 8.918 6.854 9.727 8.485 1 9.625 9.291 9.518 10 9.633 8.9 6.106 8.213 6.132 9.349 7.741 10
7.23 60 8.353 9.294 7.652 9 7 8 7.816 3.624 3.8 5.164 5 5.008 4.131 7.65 2.222 1 9.423 8.991 9.262 10 8.88 8.54 6.438 7.953 4.498 8.869 6.684 10
6.22 117 6.471 9.591 5.814 7 4 5.5 6.046 2.941 3.606 5.221 2.5 4.892 4.19 8.606 4.414 0.889 8.674 8.675 8.98 0 6.533 7.98 5.273 6.596 4.661 6.927 5.794 10
6.07 125 8.147 6.698 3.54 10 8 9 4.349 3.644 4.02 4.669 2.083 5.016 3.454 8.579 3.188 0.741 8.659 9.642 8.576 10 8.553 6.64 0 5.064 4.373 8.222 6.297 10
7.34 52 7.256 9.105 9.816 8 8 8 9.711 4.116 3.757 4.684 4.167 4.496 3.833 8.165 3.532 1 8.853 8.742 9.654 10 9.2 8.8 6.568 8.189 4.205 8.45 6.327 10
7.88 14 3.735 6.402 7.884 9 4 6.5 8.802 7.161 6.11 5.825 8.333 7.15 5.931 9.505 7.194 1 7.225 8.934 9.214 10 9.633 8.9 6.106 8.213 6.693 9.349 8.021 10
6.33 112 5.871 9.875 3.356 7 7 7 3.764 3.105 4.491 4.672 9.2 6.795 4.421 7.269 5.466 0.692 9.003 8.381 8.212 5 0 8.48 5.197 4.559 5.388 7.303 6.346 10
5.25 147 8.735 9.106 2.513 7 4 5.5 3.573 3.005 3.799 4.373 1.667 5.998 5.547 8.535 4.903 0.963 7.857 5.391 5.446 0 3.407 6.54 5.294 5.08 4.384 3.728 4.056 10
7.91 12 2.706 3.536 9.102 4 3 3.5 7.188 7.72 7.657 7.619 10 8.494 7.165 8.421 9.488 1 8.805 9.502 9.438 10 9.633 8.9 6.106 8.213 7.391 8.973 8.182 10
7.47 44 2.941 1.94 9.155 5 3 4 7.445 6.295 6.246 6.658 9.167 7.975 5.965 7.069 7.088 0.963 9.326 9.697 9.608 10 9.633 8.9 6.106 8.213 6.185 8.639 7.412 10
6.87 81 8.694 9.58 2.397 7 7 7 6.212 3.573 4.51 5.105 3.333 5.497 5.094 6.222 6.066 0.949 9.852 8.837 9.15 5 5.24 7.18 7.011 6.477 5.972 6.925 6.449 10
8.13 7 7.459 6.518 5.617 10 10 10 8.798 4.13 4.713 4.763 10 7.298 7.375 9.962 6.932 1 9.072 7.82 9.812 10 9.76 9.7 8.218 9.226 6.809 8.786 7.797 10
7.84 17 4.382 2.147 10 5 5 5 9.107 7.523 6.993 6.715 10 8.014 7.435 7.37 8.278 1 8.521 9.828 9.598 10 9.633 8.9 6.106 8.213 5.72 8.973 7.346 10
6.69 93 8.141 9.638 10 9 5 7 7.046 5.309 4.544 5.32 5 5.603 3.918 8.963 5.872 0.966 6.489 9.097 8.168 5 7.287 7.4 7.192 7.293 5.087 5.949 5.518 10
7.06 70 4.882 3.526 8.486 5 5 5 7.953 5.06 4.302 5.431 8.333 7.355 3.313 5.776 5.074 1 9.196 9.399 9.7 10 9.633 8.9 6.106 8.213 6.491 7.886 7.189 10
7.62 32 8.5 9.853 10 7 4 5.5 9.367 3.926 3.598 5.178 6.667 4.436 3.39 9.302 2.993 0.963 9.272 9.031 9.244 10 9.293 8.86 7.401 8.518 5.859 7.678 6.768 10
7.22 61 6.735 10 10 9 8 8.5 9.021 3.577 3.614 4.581 5 3.88 2.861 7.692 2.251 0.897 9.686 8.907 8.96 10 9.553 8.84 6.961 8.451 4.798 8.159 6.479 10
8.84 1 8.132 9.432 9.236 10 10 10 6.83 7.432 7.293 7.224 8.333 7.895 5.357 6.798 8.788 1 8.276 9.287 9.188 10 9.993 10 10 9.998 8.076 9.349 8.713 10
7.52 40 3.787 4.595 8.767 10 3 6.5 6.446 5.149 4.857 5.235 10 6.631 5.538 8.045 5.346 0.963 9.471 9.758 8.858 10 9.633 8.9 6.106 8.213 5.924 7.553 6.738 10
7 75 2.353 7.416 9.902 4 3 3.5 6.885 7.097 6.742 6.621 10 8.657 6.263 9.145 8.52 1 9.393 8.443 8.962 0 9.733 8.9 1.398 6.677 5.065 8.764 6.915 10
6.51 101 7.147 9.111 8.288 8 7 7.5 6.733 5.771 4.73 5.309 6.667 6.472 3.797 6.867 4.955 0.963 9.418 9.355 8.138 0 7.753 7.26 3.205 6.073 5.626 7.574 6.6 10
6.88 80 7.647 8.72 10 8 7 7.5 5.833 4.509 4.327 5.399 4.167 5.57 3.106 6.001 5.037 0.897 8.545 7.94 9.144 10 9.22 8.6 5.884 7.901 5.506 7.303 6.404 10
5.26 146 6.871 7.989 8.252 7 7 7 3.534 3.624 3.708 5.315 7.5 5.854 4.438 5.835 5.516 0.517 9.368 6.067 8.782 10 7.52 4.68 0 4.067 4.89 5.758 5.324 0
8.1 8 3.441 4.98 10 5 3 4 8.261 7.415 6.829 6.955 10 8.793 5.591 8.446 8.527 1 9.732 9.295 9.662 10 9.633 8.9 6.106 8.213 6.566 8.869 7.718 10
7.36 50 3.279 7.462 10 5 5 5 6.285 5.924 5.899 6.142 4.167 7.597 4.606 6.07 5.781 0.963 8.6 9.309 9.658 10 9.767 8.86 4.893 7.84 5.31 8.702 7.006 10
7.61 34 4.676 3.438 10 5 2 3.5 9.636 5.027 4.408 5.786 10 6.785 4.048 8.251 6.683 1 9.628 9.629 9.392 10 9.633 8.9 6.106 8.213 5.562 7.448 6.505 10
7.44 47 7.088 9.379 9.678 9 5 7 7.897 5.609 4.561 5.628 10 4.785 3.754 6.197 4.42 0.926 8.415 7.398 8.62 10 8.2 8.48 5.683 7.454 6.397 7.426 6.912 10
7.77 22 4.353 3.722 7.997 5 5 5 8.79 7.128 6.433 7.193 8.333 8.059 6.648 7.848 7.939 0.966 9.647 9.727 9.994 10 9.6 9.08 2.732 7.137 4.923 8.555 6.739 10
