7.65 37 8.141 6.935 7.612 9 7 8 7.826 4.037 3.933 4.521 8.333 5.624 4.387 6.231 4.54 0.946 9.417 9.426 9.674 10 9.353 9.24 8.039 8.878 6.275 9.223 7.749 10 4.164 4.615 8.297 5.692 10 8.027 10 9.342 5.567 6.149
5.08 153 1.529 7.817 3.199 7 2 4.5 2.072 3.389 3.97 4.679 4.514 4.943 4.508 6.627 5.121 0.811 8.492 6.476 9.417 5 8.48 6.24 5.789 6.836 5.949 0 2.975 7.182 1.657 0 1.106 0.921 0 8.459 10 6.153 5.567 3.663
5.02 154 3.297 8.011 2.143 10 9 9.5 3.319 2.838 2.998 3.659 3.333 5.002 3.151 5.456 3.016 0.865 8.469 5.146 8.544 5 8.92 7.72 4.254 6.965 3.133 0 1.566 10 0 2.308 0.111 0.806 5 6.533 9 6.844 2.233 2.656
4.69 158 5.709 4.123 7.586 7 1 4 6.988 3.78 3.431 4.547 7.5 4.637 4.326 6.857 2.801 0.811 6.16 5.683 2.265 5 4.153 7.28 6.029 5.821 3.796 3.883 3.84 0 0 0.769 7.965 2.911 5 8.173 5 6.058 2.767 2.873
7.87 18 8.124 7.936 10 5 5 5 9.342 3.565 3.844 5.39 5.833 5.371 6.409 9.802 4.99 1 9.527 8.503 9.404 10 9.113 9.26 8.283 8.886 5.355 9.817 7.586 10 10 5.385 10 8.462 10 8.667 10 9.556 5.567 6.025
8.11 10 4.603 6.661 10 5 5 5 7.445 7.648 6.944 7.037 10 8.448 6.832 8.206 8.424 1 8.527 9.03 9.502 10 9.073 9.46 8.207 8.914 7.346 8.467 7.907 10 8.798 4.615 0.111 4.508 10 9.062 10 9.687 8.9 4.954
7.84 21 3.824 3.155 10 4 3 3.5 7.619 6.623 7.036 7.26 10 8.661 7.309 8.1 8.233 1 8.881 9.888 9.679 10 9.817 8.94 6.544 8.434 7.64 9.963 8.802 10 10 3.077 7.744 6.94 8 8.95 10 8.983 8.9 3.846
6.21 119 6.082 7.881 0 9 4 6.5 4.371 2.514 3.8 4.787 5 4.826 7.253 9.774 5.139 0.757 9.04 6.02 9.723 5 8.893 8.2 6.688 7.927 4.81 7.409 6.11 10 4.663 4.615 1.438 3.572 5 10 9 8 8.333 6.765
7.22 67 3.635 8.033 9.977 10 10 10 1.758 4.08 5.373 5.59 5 6.482 4.786 8.855 6.728 0.537 9.667 7.341 9.47 10 9.48 9.06 7.443 8.661 7.621 5.682 6.651 10 10 6.154 0.774 5.643 10 6.937 10 8.979 8.333 4.26
6.2 120 9.75 9.676 7.739 9 9 9 6.579 2.9 3.551 4.772 4.167 4.393 0.941 3.088 2.618 0.811 9.488 9.574 8.602 0 6.54 7.22 6.275 6.678 5.46 0.163 2.811 10 1.657 0 7.633 3.097 5 9.796 10 8.265 10 5.937
7.8 27 2.326 2.312 10 2 0 1 8.409 6.947 6.491 6.744 10 7.824 6.533 9.943 7.824 1 9.214 9.775 9.932 10 9.817 8.94 6.544 8.434 7.923 9.729 8.826 10 10 3.846 7.744 7.197 8 8.908 10 8.969 8.9 3.294
6.96 84 5.532 5.141 5.729 10 3 6.5 7.028 3.815 4.194 4.689 8.3 5.815 3.915 7.837 7.296 0.892 9.62 9.692 9.814 5 10 8.72 6.672 8.464 5.432 9.596 7.514 10 2.86 3.077 8.518 4.818 10 5.07 10 8.357 4.433 7.462
7.43 51 2.997 7.164 5.619 9 9 9 5.357 6.233 5.914 6.107 8.333 6.435 3.168 8.097 5.424 0.973 9.202 7.172 9.119 10 3.76 8.48 5.531 5.924 6.527 9.196 7.861 10 10 5.385 10 8.462 8 10 10 9.333 10 4.872
6.4 113 4.762 6.351 10 8 4 6 7.056 5.146 4.351 5.402 6.667 4.965 3.996 8.382 4.848 0.892 9.596 9.579 8.734 5 8.253 7.3 6.058 7.204 4.756 4.916 4.836 9.814 4.164 3.077 8.186 5.143 5 6.146 8 6.382 2.233 3.159
7.58 40 5.662 5.827 6.988 10 7 8.5 8.065 4.659 4.392 4.927 8.333 5.326 4.768 8.839 3.776 0.892 8.132 9.113 9.716 10 9.817 8.94 6.544 8.434 5.386 9.839 7.612 10 10 6.923 7.633 8.185 10 8.282 10 9.427 5.567 5.418
5.94 132 3.944 10 1.636 9 4 6.5 6.443 3.469 4.01 4.739 4.028 5.679 2.139 4.756 5.077 0.892 9.018 8.859 9.951 0 6.64 7.62 7.287 7.182 5.486 2.709 4.098 10 1.657 0.769 7.191 3.206 8 8.027 5 7.009 6.667 5.151
5.84 136 7.359 9.193 8.593 5 4 4.5 6.125 3.14 3.585 4.792 5 3.83 5.085 3.375 5.482 0.615 9.145 9.888 9.61 0 7.48 6.36 6.287 6.709 5.88 0 2.94 10 1.657 0.833 0.553 1.015 5 7.126 9 7.042 7.233 5.399
8.33 5 3.912 7.613 10 6 6 6 8.196 7.456 7.152 7.237 10 8.365 6.157 8.603 8.546 1 9.13 9.667 9.619 10 9.767 9.16 1.97 6.965 6.501 9.89 8.195 10 10 7.692 5.531 7.741 10 9.195 10 9.732 8.9 6.062
7.94 15 6.853 7.925 10 7 7 7 9.02 6.797 6.209 6.45 7.5 7.379 5.68 9.067 8.81 0.897 8.726 7.877 9.121 10 9.767 8.8 9.832 9.466 8.941 6.83 7.885 10 6.994 3.077 9.071 6.381 8 9.303 10 9.101 6.667 3.848
6.2 120 4.041 8.294 4.218 6 6 6 3.064 3.386 4.391 5.096 5 4.87 5.534 8.514 5.5 0.892 9.418 8.76 9.601 5 9.347 8.08 7.235 8.221 5.971 6.634 6.302 10 1.657 0.769 0.553 0.993 2 9.767 10 7.256 8.9 4.632
6.63 98 6.541 7.21 4.96 7 2 4.5 7.145 4.429 4.068 4.543 3.333 4.759 3.484 9.04 5.074 0.865 9.011 9.156 9.424 5 8.9 8.84 6.334 8.025 4.158 3.631 3.894 10 4.164 1.538 9.624 5.109 10 9.283 10 9.761 8.9 4.504
7.59 39 5.438 8.531 10 9 4 6.5 7.185 6.796 5.438 5.715 10 6.304 3.524 8.523 6.588 0.865 9.188 9.362 9.097 10 8.767 8.88 6.282 7.976 5.416 7.469 6.442 10 7.17 6.923 9.293 7.795 5 5.798 9 6.599 2.233 5.798
5.88 134 6.953 9.93 3.846 3 1 2 8.076 4.751 4.693 4.88 3.333 5.064 3.974 6.968 4.663 0.919 8.857 9.283 9.91 0 2.74 7.62 7.287 5.882 5.768 1.834 3.801 10 1.657 0.769 2.434 1.62 8 8.321 5 7.107 4.433 5.122
7.17 73 4.138 4.297 8.584 4 0 2 6.703 5.056 4.289 5.327 8.333 7.026 5.139 7.185 5.74 0.946 7.602 9.643 9.957 10 9.817 8.94 6.544 8.434 6.028 9.963 7.995 10 6.994 4.615 7.633 6.414 8 7.318 10 8.439 5.567 4.651
7.41 53 6.347 6.017 9.244 7 6 6.5 8.592 6.132 5.63 5.9 8.333 7.813 4.627 6.411 6.201 0.897 9.829 9.365 9.729 0 9.817 8.94 6.544 8.434 7.303 9.311 8.307 10 8.798 6.923 7.744 7.821 10 9.9 10 9.967 5.567 4.931
7.84 21 3.221 4.812 9.592 9 4 6.5 8.412 5.975 5.436 5.942 10 7.791 4.178 8.099 5.115 0.919 8.948 9.361 9.933 10 9.817 8.94 6.544 8.434 8.19 9.963 9.077 10 10 3.077 7.744 6.94 10 9.633 10 9.878 8.9 3.712
8.02 13 1.359 4.469 8.646 3 2 2.5 6.956 7.717 6.975 7.099 10 8.893 6.73 9.727 8.404 1 9.482 9.472 9.887 10 9.817 8.94 6.544 8.434 7.365 9.963 8.664 10 10 6.923 7.744 8.222 10 10 10 10 10 8.124
7.52 43 8.012 9.216 10 9 7 8 7.816 3.696 3.848 5.36 5 5.011 4.132 7.933 2.605 1 9.549 9.158 9.4 10 8.893 8.54 6.438 7.957 4.817 8.869 6.843 10 8.196 3.846 10 7.348 5 8.321 10 7.774 5.567 5
5.98 129 6.026 9.591 5.565 7 4 5.5 6.119 2.175 3.219 5.486 2.5 5.036 4.066 8.657 4.414 0.865 8.969 9.202 9.285 0 6.533 7.62 4.716 6.29 2.836 3.404 3.12 10 4.487 3.077 10 5.855 8 9.806 10 9.269 4.433 2.395
5.5 145 8.038 6.338 2.379 8 5 6.5 1.989 4.068 3.93 4.494 1.667 5.112 3.329 8.612 3.89 0.568 7.883 9.471 7.971 10 8.5 6.64 0 5.047 4.794 2.407 3.601 9.484 1.657 4.615 5.199 3.824 2 0 10 4 10 4.71
7.51 44 7.221 9.476 10 8 8 8 8.458 4.388 4.055 4.935 4.167 4.054 3.833 8.165 4.532 1 9.951 9.095 9.779 10 9.227 8.8 6.568 8.198 6.345 8.187 7.266 10 6.994 4.615 7.854 6.488 8 6.306 10 8.102 5.567 6.172
7.97 14 3.721 6.436 8.465 9 4 6.5 7.467 7.173 6.25 5.955 8.333 7.145 5.931 9.505 7.106 1 6.947 9.6 9.971 10 9.817 8.94 6.544 8.434 7.903 9.876 8.89 10 10 5.385 7.744 7.709 10 10 10 10 6.667 4.26
6.46 108 5.391 9.94 0 7 7 7 3.643 2.973 4.377 4.962 9.2 6.818 4.421 7.269 5.953 0.692 8.945 9.189 8.863 5 0 8.48 5.47 4.65 6.019 9.714 7.866 10 1.657 0.769 9.624 4.017 8 8.328 10 8.776 8.9 4.656
